id,station_id,dist
CA006137730,71527,269.46449268
CA006137937,71466,457.9386171
CA00613KLLM,71465,0.12592419
CA006144475,71623,366.74369751
CA006145503,71631,366.72007944
CA006151684,71431,264.75563944
CA006158665,71265,366.95185255
CA006158733,71624,453.13343206
CA006158875,71621,451.71099187
CA007013655,71382,443.18057685
CA007016294,72714,289.77070091
CA007018562,71724,253.75397029
CA007018572,71716,0.25444539
CA007018574,71151,0.2544454
CA007024745,71612,257.77849852
CA007025250,71627,366.24980523
CA007027039,71614,449.04949498
CA007027320,71371,448.28884444
CA007028123,71610,449.17336975
CA007028296,71422,259.37089314
CA00702FQLF,71712,449.31654026
CA007036760,71720,255.49302382
CA007040440,71187,367.31015456
CA007040813,71808,823.08974033
CA007043000,71814,373.27557167
CA007044328,71512,436.20909471
CA007045400,71813,386.31017058
CA007047910,71811,435.75983131
CA0070510M0,71428,439.44886549
CA007051163,71425,968.43812842
CA007052960,71709,443.72025847
CA007056201,71810,84.40661654
CA007056563,71189,367.04423351
CA007056616,71715,0.35326212
CA007060400,71727,367.6108948
CA007066685,71728,440.00295138
CA007075799,71726,441.74687792
CA007086716,71734,245.16216767
CA007091401,71822,440.26186737
CA007093715,72827,367.5895585
CA007093GJ3,71823,877.49583431
CA007094636,71821,368.18280813
CA007095480,71826,0.35460742
CA007098600,71725,250.99155342
CA007110831,71901,423.00146754
CA007113534,71906,258.43226212
CA007117827,72828,125.04575609
CA008101500,71700,446.74282788
CA008101792,71701,447.68957151
CA008103050,71719,366.98014153
CA008103200,72705,372.06451049
CA008103201,71705,446.39168632
CA008104103,71414,366.83441404
CA008104900,71609,449.39521494
CA00810I001,71703,250.14276427
CA008200091,71410,256.0580892
CA008200558,71403,450.19102494
CA008200774,71415,447.71366596
CA008201716,71604,366.81917093
CA008202000,71397,449.66674161
CA008202550,71413,366.86517132
CA008204700,71600,452.08000717
CA008205090,71601,367.01632547
CA008205126,71399,366.36404558
CA008205700,71707,366.606678
CA008205990,71398,448.63904691
CA008206240,71411,452.22202961
CA008206495,71603,452.65658225
CA008300300,71706,446.6069911
CA008300596,71702,446.03223523
CA008400100,71807,0.08482108
CA008400301,71400,439.13490139
CA008400801,71194,442.75524307
CA008401259,71193,438.75897526
CA008401410,71185,436.21669213
CA008401501,71809,365.92169053
CA008401705,71803,241.68704034
CA008402520,71806,436.67123101
CA008403255,71408,366.76873111
CA008403290,71195,366.8008682
CA008403506,71801,366.46957893
CA008403800,71815,367.09790707
CA008404025,71402,367.00170651
CA008501130,71182,0.13205596
CA008501900,71816,427.98279826
CA008502400,71900,841.54098952
CA008502799,71902,202.94378148
CA008503249,71804,415.55824028
CA008504175,71825,530.84812851
CA1ON000184,72749,929.40947792
CD000004700,64700,836.85828617
CD000004701,64701,822.4398962
CD000004750,64750,869.52525316
CD000004754,64754,783.5606385
CD000004756,64756,975.16672355
CD000004758,64758,726.13515049
CD000064751,64751,990.1001717
CE000043497,43497,791.11251689
CE000434730,43473,963.98235679
CEM00043466,43466,353.26852783
CF000004400,64400,435.7897914
CF000004405,64405,387.32132172
CF000004450,64450,525.67847025
CF000004452,64452,447.48730909
CF000004453,64453,777.29595081
CF000004458,64458,617.57414194
CF000004459,64459,311.15667439
CFM00064403,64403,374.68914378
CGM00064005,64005,446.31043117
CGM00064115,64115,483.95991293
CGM00064204,64204,868.51328343
CGM00064206,64206,32.20471616
CGM00064207,64207,83.839136
CGM00064247,64247,339.79103659
CHM00045005,45005,661.05682382
CHM00050353,50353,321.07620442
CHM00050557,50557,646.01663783
CHM00050564,50564,607.07211124
CHM00050632,50632,406.46050086
CHM00050658,50658,553.93274517
CHM00050756,50756,403.07596852
CHM00050788,50788,833.45111534
CHM00050915,50915,407.57190173
CHM00050963,50963,821.41224546
CHM00050968,50968,299.97832147
CHM00051076,51076,649.52039633
CHM00051334,51334,333.37296811
CHM00051379,51379,772.13465079
CHM00051431,51431,872.6664541
CHM00051573,51573,895.27178941
CHM00051644,51644,495.64619391
CHM00051656,51656,626.02115031
CHM00051716,51716,648.66423772
CHM00051765,51765,859.99424181
CHM00051777,51777,693.32547331
CHM00051811,51811,895.1493889
CHM00051828,51828,927.51355222
CHM00051855,51855,323.11364231
CHM00052203,52203,764.15260851
CHM00052267,52267,938.0493462
CHM00052533,52533,943.37558799
CHM00052602,52602,917.23549791
CHM00052889,52889,71.74114747
CHM00052957,52958,204.79443162
CHM00053231,53231,250.68107601
CHM00053276,53276,0.0
CHM00053352,53352,451.63427075
CHM00053391,53391,667.59617873
CHM00053463,53463,818.98092042
CHM00053529,53529,315.65974017
CHM00053646,53646,716.17561389
CHM00053673,53673,134.86083786
CHM00053772,53772,805.87048312
CHM00053845,53845,58.06874292
CHM00053863,53863,545.4056721
CHM00053915,53915,484.39679852
CHM00054026,54026,466.77709406
CHM00054027,54027,477.67616584
CHM00054094,54094,134.83394415
CHM00054096,54096,460.07528387
CHM00054115,54115,576.70859281
CHM00054135,54135,120.17990789
CHM00054157,54157,761.16992691
CHM00054161,54161,470.06267909
